338,NITRBlackCoder,"National Institute of Technology, Rourkela",1
339,MicroLuNex,"Netaji Subhas Institute of Technology, New Delhi",1
340,Codeconstructo,Indian Institute of Technology Bhubaneswar,1
341,coolcoders,"University Institute of Engineering and Technology, Punjab University",1
342,CodeBros,Indian Institute of Technology Ropar,1
343,Codester,Birla Institute of Technology Mesra,1
344,codecrackers,Jaypee Institute of Information Technology,1
345,CodeFreaks,"National Institute of Technology, Rourkela",1
346,DeBuggers,"Veermata Jijabai Technological Institute, Mumbai",1
347,BIT THRASHERS,"Birla Institute Of Technology, Mesra, Deoghar Campus",1
348,SAGARB,"Abes Engineering college, Ghaziabad",1
349,Dss,"College of Engineering and Technology, Bhubaneswar",1
350,Codor,Jaypee Institute of Information Technology,1
351,strike_team,National Institute of Technology Raipur,1
352,FunCoders,"International Institute of Information Technology, Hyderabad",1
353,Resilient,"International Institute of Information Technology, Bhubaneswar",1
354,Codiacs,The LNM Institute of Information Technology,1
355,flare,Rustamji Institute of Technology,1
356,CODE-HUNTERS,"National Institute of Technology, Durgapur",1
357,HashInclude,"National Institute of Technology, Durgapur",1
358,Coder,"National Institute of Technology, Rourkela",1
359,sredocks,Indian Institute of Technology Guwahati,1
360,Incognito,"Jaypee University of Engineering and Technology, Guna",1
361,Techno4,"Pranveer Singh Institute of Technology, Kanpur",1
362,IO,"National Institute Of Technology, Delhi",1
363,HOLY KNIGHTS,"National Institute of Technology, Durgapur",1
364,Gypsy,Birla Institute of Technology Mesra,1
365,Imperial Codos,Jaypee Institute of Information Technology,1
366,Team Foo,"Dharmsinh Desai University, Nadiad",1
367,Coders,"Chandubhai S Patel Institute of Technology, Gujarat",1
368,Rush,"National Institute of Technology, Durgapur",1
369,Bullet For Ur Code,"University Institute of Engineering and Technology, Punjab University",1
370,AMIGOS,Rustamji Institute of Technology,1
371,Apsepra,National Institute of Technology Tiruchirappalli,1
372,CYBERFREAK,Shri Ramswaroop Memorial College of Engineering and Management,1
373,MVP,"Netaji Subhas Institute of Technology, New Delhi",1
374,pointers,Indian Institute of Technology Kharagpur,1
